"datetime","imports"
2018-09-03 00:00:00,7847
2018-09-03 01:00:00,7671
2018-09-03 02:00:00,7834
2018-09-03 03:00:00,7944
2018-09-03 04:00:00,7982
2018-09-03 05:00:00,8267
2018-09-03 06:00:00,8459
2018-09-03 07:00:00,8440
2018-09-03 08:00:00,6273
2018-09-03 09:00:00,4690
2018-09-03 10:00:00,4296
2018-09-03 11:00:00,4001
2018-09-03 12:00:00,4289
2018-09-03 13:00:00,4669
2018-09-03 14:00:00,4561
2018-09-03 15:00:00,5364
2018-09-03 16:00:00,5980
2018-09-03 17:00:00,7133
2018-09-03 18:00:00,9229
2018-09-03 19:00:00,10205
2018-09-03 20:00:00,10375
2018-09-03 21:00:00,10618
2018-09-03 22:00:00,9832
2018-09-03 23:00:00,8329
2018-09-04 00:00:00,7844
2018-09-04 01:00:00,7780
2018-09-04 02:00:00,7598
2018-09-04 03:00:00,7582
2018-09-04 04:00:00,7830
2018-09-04 05:00:00,8019
2018-09-04 06:00:00,8288
2018-09-04 07:00:00,9073
2018-09-04 08:00:00,7083
2018-09-04 09:00:00,5760
2018-09-04 10:00:00,4633
2018-09-04 11:00:00,4554
2018-09-04 12:00:00,4329
2018-09-04 13:00:00,4638
2018-09-04 14:00:00,4644
2018-09-04 15:00:00,5023
2018-09-04 16:00:00,5796
2018-09-04 17:00:00,6421
2018-09-04 18:00:00,7852
2018-09-04 19:00:00,8738
2018-09-04 20:00:00,9333
2018-09-04 21:00:00,9278
2018-09-04 22:00:00,8198
2018-09-04 23:00:00,7470
2018-09-05 00:00:00,6697
2018-09-05 01:00:00,6178
2018-09-05 02:00:00,5944
2018-09-05 03:00:00,5855
2018-09-05 04:00:00,5975
2018-09-05 05:00:00,6208
2018-09-05 06:00:00,7194
2018-09-05 07:00:00,8200
2018-09-05 08:00:00,6504
2018-09-05 09:00:00,4961
2018-09-05 10:00:00,4358
2018-09-05 11:00:00,4152
2018-09-05 12:00:00,3663
2018-09-05 13:00:00,3954
2018-09-05 14:00:00,4061
2018-09-05 15:00:00,4570
2018-09-05 16:00:00,5131
2018-09-05 17:00:00,5794
2018-09-05 18:00:00,7540
2018-09-05 19:00:00,7912
2018-09-05 20:00:00,8678
2018-09-05 21:00:00,8692
2018-09-05 22:00:00,7994
2018-09-05 23:00:00,6860
2018-09-06 00:00:00,5905
2018-09-06 01:00:00,6130
2018-09-06 02:00:00,5986
2018-09-06 03:00:00,5974
2018-09-06 04:00:00,5975
2018-09-06 05:00:00,6385
2018-09-06 06:00:00,7392
2018-09-06 07:00:00,8489
2018-09-06 08:00:00,7270
2018-09-06 09:00:00,5423
2018-09-06 10:00:00,4791
2018-09-06 11:00:00,4508
2018-09-06 12:00:00,4388
2018-09-06 13:00:00,4150
2018-09-06 14:00:00,4364
2018-09-06 15:00:00,4509
2018-09-06 16:00:00,5343
2018-09-06 17:00:00,6148
2018-09-06 18:00:00,7655
2018-09-06 19:00:00,8112
2018-09-06 20:00:00,8792
2018-09-06 21:00:00,8990
2018-09-06 22:00:00,8094
2018-09-06 23:00:00,7360
2018-09-07 00:00:00,7008
2018-09-07 01:00:00,7266
2018-09-07 02:00:00,6970
2018-09-07 03:00:00,6771
2018-09-07 04:00:00,7056
2018-09-07 05:00:00,7643
2018-09-07 06:00:00,8650
2018-09-07 07:00:00,9170
2018-09-07 08:00:00,7093
2018-09-07 09:00:00,5731
2018-09-07 10:00:00,5443
2018-09-07 11:00:00,5953
2018-09-07 12:00:00,5975
2018-09-07 13:00:00,6314
2018-09-07 14:00:00,6291
2018-09-07 15:00:00,6888
2018-09-07 16:00:00,7606
2018-09-07 17:00:00,8344
2018-09-07 18:00:00,8970
2018-09-07 19:00:00,9762
2018-09-07 20:00:00,10730
2018-09-07 21:00:00,10371
2018-09-07 22:00:00,9689
2018-09-07 23:00:00,8814
2018-09-08 00:00:00,7733
2018-09-08 01:00:00,8332
2018-09-08 02:00:00,7732
2018-09-08 03:00:00,7628
2018-09-08 04:00:00,7511
2018-09-08 05:00:00,8014
2018-09-08 06:00:00,8387
2018-09-08 07:00:00,8456
2018-09-08 08:00:00,6652
2018-09-08 09:00:00,4367
2018-09-08 10:00:00,4890
2018-09-08 11:00:00,5527
2018-09-08 12:00:00,5929
2018-09-08 13:00:00,6143
2018-09-08 14:00:00,6375
2018-09-08 15:00:00,6230
2018-09-08 16:00:00,6330
2018-09-08 17:00:00,7304
2018-09-08 18:00:00,8446
2018-09-08 19:00:00,9125
2018-09-08 20:00:00,9885
2018-09-08 21:00:00,9407
2018-09-08 22:00:00,8772
2018-09-08 23:00:00,8528
2018-09-09 00:00:00,7915
2018-09-09 01:00:00,7465
2018-09-09 02:00:00,7221
2018-09-09 03:00:00,7591
2018-09-09 04:00:00,7545
2018-09-09 05:00:00,7335
2018-09-09 06:00:00,8205
2018-09-09 07:00:00,8416
2018-09-09 08:00:00,5994
2018-09-09 09:00:00,3874
2018-09-09 10:00:00,3677
2018-09-09 11:00:00,4212
2018-09-09 12:00:00,4910
2018-09-09 13:00:00,5154
2018-09-09 14:00:00,5127
2018-09-09 15:00:00,5123
2018-09-09 16:00:00,6085
2018-09-09 17:00:00,7058
2018-09-09 18:00:00,8229
2018-09-09 19:00:00,9053
2018-09-09 20:00:00,9514
2018-09-09 21:00:00,9842
2018-09-09 22:00:00,8774
2018-09-09 23:00:00,7857
